num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
93,-78.6964985,35.7279908,24.994,-0.5285675525665283,-0.654029905796051,0.04257766157388687,8.79,-5.12,0.0,12.587,2025-05-31 23:22:44.813200,6,10
94,-78.6965551,35.7280697,24.995,-0.523209810256958,-0.6351171135902405,0.0323389396071434,8.74,-5.09,0.0,12.587,2025-05-31 23:22:45.814343,6,10
95,-78.6966116,35.7281483,24.993,-0.519031286239624,-0.6367918848991394,0.03547424077987671,8.66,-5.05,0.0,12.587,2025-05-31 23:22:46.815436,6,10
96,-78.6966673,35.728226,24.991,-0.5209360718727112,-0.6432237029075623,0.03783915191888809,8.66,-5.03,0.0,12.587,2025-05-31 23:22:47.816516,6,10
97,-78.696723,35.7283038,24.992,-0.5223656892776489,-0.6349888443946838,0.034926965832710266,8.64,-5.02,0.0,12.587,2025-05-31 23:22:48.817167,6,10
98,-78.6967786,35.7283813,24.99,-0.5240695476531982,-0.6416053175926208,0.03864515945315361,8.66,-5.03,0.0,12.587,2025-05-31 23:22:49.817503,6,10
99,-78.6968346,35.7284595,24.989,-0.5167298316955566,-0.6381998658180237,0.0360347218811512,8.65,-5.01,-0.01,12.587,2025-05-31 23:22:50.818118,6,10
100,-78.69689,35.728537,24.99,-0.5221009254455566,-0.637986421585083,0.03718925639986992,8.64,-5.01,0.0,12.587,2025-05-31 23:22:51.819316,6,10
101,-78.6969459,35.728615,24.992,-0.5155059695243835,-0.640007495880127,0.03721579536795616,8.62,-5.0,0.0,12.587,2025-05-31 23:22:52.819562,6,10
102,-78.6970011,35.7286921,24.99,-0.5253790616989136,-0.6380187273025513,0.03776223585009575,8.64,-5.01,0.0,12.587,2025-05-31 23:22:53.820498,6,10
103,-78.6970569,35.7287699,24.989,-0.5192105770111084,-0.6392030715942383,0.03830183297395706,8.65,-5.01,-0.01,12.587,2025-05-31 23:22:54.821607,6,10
104,-78.6971125,35.7288476,24.992,-0.5219502449035645,-0.6387138366699219,0.037674229592084885,8.64,-5.01,0.0,12.587,2025-05-31 23:22:55.822040,6,10
105,-78.6971684,35.7289257,24.993,-0.5134231448173523,-0.6384121179580688,0.037086084485054016,8.63,-5.0,0.0,12.587,2025-05-31 23:22:56.823869,6,10
106,-78.6972239,35.7290032,24.992,-0.5190947651863098,-0.6385365724563599,0.03810879960656166,8.61,-4.99,0.0,12.587,2025-05-31 23:22:57.824196,6,10
107,-78.6972795,35.7290808,24.992,-0.5171223282814026,-0.6385084986686707,0.038485586643218994,8.62,-4.99,0.0,12.587,2025-05-31 23:22:58.825509,6,10
108,-78.6973348,35.7291581,24.992,-0.5240156650543213,-0.6389265656471252,0.03875074163079262,8.64,-5.01,0.0,12.587,2025-05-31 23:22:59.825865,6,10
109,-78.6973906,35.729236,24.993,-0.5161027312278748,-0.6384601593017578,0.03794742748141289,8.66,-5.02,0.0,12.587,2025-05-31 23:23:00.828044,6,10
110,-78.6974463,35.7293138,24.993,-0.5182522535324097,-0.6383920311927795,0.038238465785980225,8.63,-5.0,0.0,12.587,2025-05-31 23:23:01.828417,6,10
111,-78.6975019,35.7293915,24.993,-0.5165126323699951,-0.6383713483810425,0.038369227200746536,8.63,-5.0,0.0,12.587,2025-05-31 23:23:02.829659,6,10
112,-78.6975575,35.7294692,24.993,-0.5187169313430786,-0.6380968689918518,0.038642823696136475,8.62,-4.99,0.0,12.587,2025-05-31 23:23:03.830744,6,10
113,-78.6976131,35.7295468,24.992,-0.5181236863136292,-0.6388339400291443,0.0394415445625782,8.63,-5.0,0.0,12.587,2025-05-31 23:23:04.830989,6,10
114,-78.6976685,35.7296242,24.993,-0.5220851302146912,-0.6381786465644836,0.03886353597044945,8.64,-5.0,0.0,12.587,2025-05-31 23:23:05.831830,6,10
115,-78.6977242,35.729702,24.995,-0.5180326700210571,-0.639116644859314,0.03957361727952957,8.65,-5.01,0.0,12.587,2025-05-31 23:23:06.832246,6,10
116,-78.6977799,35.7297799,24.995,-0.5183530449867249,-0.638120174407959,0.03839646279811859,8.62,-5.0,0.0,12.587,2025-05-31 23:23:07.833380,6,10
117,-78.6978355,35.7298574,24.995,-0.5190281271934509,-0.6385883092880249,0.039273981004953384,8.63,-5.0,0.0,12.587,2025-05-31 23:23:08.833538,6,10
118,-78.697891,35.729935,24.995,-0.522179901599884,-0.6388803720474243,0.039919424802064896,8.63,-5.0,0.0,12.587,2025-05-31 23:23:09.833920,6,10
119,-78.6979454,35.7300111,25.004,-0.4033539295196533,-0.6346588134765625,0.02412412315607071,8.14,-4.71,-0.01,12.587,2025-05-31 23:23:10.834962,6,10
120,-78.697995,35.7300803,25.003,-0.3005144000053406,-0.6324042677879333,0.013901879079639912,7.12,-4.13,0.0,12.587,2025-05-31 23:23:11.835948,6,10
121,-78.6980373,35.7301394,24.993,-0.19301685690879822,-0.6314396858215332,0.005877489689737558,5.96,-3.48,0.0,12.587,2025-05-31 23:23:12.836988,6,10
122,-78.698072,35.7301878,24.987,-0.08404146879911423,-0.6308947205543518,0.00018739429651759565,4.69,-2.75,0.0,12.587,2025-05-31 23:23:13.837272,6,10
123,-78.6980981,35.7302241,24.987,0.010067774914205074,-0.631203293800354,-0.004087526351213455,3.36,-1.98,0.0,12.587,2025-05-31 23:23:14.838677,6,10
124,-78.6981155,35.7302482,24.99,0.10756071656942368,-0.6318987607955933,-0.011132007464766502,1.94,-1.13,0.0,12.587,2025-05-31 23:23:15.839235,6,10
125,-78.698123,35.7302587,24.996,0.12499117851257324,-0.6315039992332458,-0.010967015288770199,0.43,-0.24,0.0,12.587,2025-05-31 23:23:16.840387,6,10
126,-78.6981232,35.7302589,24.995,0.030889049172401428,-0.6316683292388916,-0.0018852283246815205,-0.2,0.13,0.0,12.587,2025-05-31 23:23:17.842261,6,10
127,-78.6981215,35.7302565,24.994,-0.004891987890005112,-0.6318045854568481,0.004071162547916174,-0.21,0.15,0.0,12.587,2025-05-31 23:23:18.844012,6,10
128,-78.6981205,35.7302546,24.998,-0.00648354459553957,-0.6048851013183594,0.006732973735779524,-0.1,0.1,0.0,12.587,2025-05-31 23:23:19.844447,6,10
129,-78.69812,35.7302537,25.0,-0.006111749913543463,0.42097902297973633,0.0016641844995319843,-0.03,0.08,0.0,12.587,2025-05-31 23:23:20.845361,6,10
130,-78.6981196,35.7302534,25.001,-0.003189768875017762,1.512505054473877,-0.0008999729761853814,-0.01,0.08,0.0,12.587,2025-05-31 23:23:21.845584,6,10
131,-78.6981193,35.7302533,25.001,-0.0005874127382412553,0.8205534219741821,0.0024862545542418957,-0.01,0.06,0.0,12.587,2025-05-31 23:23:22.845870,6,10
132,-78.698119,35.7302533,25.001,0.0006100140162743628,0.7487059831619263,0.0021792373154312372,-0.02,0.05,0.0,12.587,2025-05-31 23:23:23.847675,6,10
133,-78.6981188,35.7302532,25.001,0.000498138484545052,1.3207659721374512,0.0021113369148224592,-0.02,0.03,0.0,12.587,2025-05-31 23:23:24.848822,6,10
134,-78.6981186,35.7302532,25.001,-0.0018078350694850087,2.576327085494995,0.0012693782337009907,-0.02,0.02,0.0,12.587,2025-05-31 23:23:25.850014,6,10
135,-78.6981185,35.7302532,25.001,-0.0016147680580615997,2.7892532348632812,0.001412667566910386,-0.03,0.01,0.0,12.587,2025-05-31 23:23:26.850270,6,10
136,-78.6981184,35.7302531,25.002,-0.00044353381963446736,2.2517900466918945,0.0021147264633327723,-0.02,0.0,0.0,12.587,2025-05-31 23:23:27.851042,6,10
137,-78.6981183,35.730253,25.004,-0.001351204700767994,-2.8778223991394043,0.0013543934328481555,-0.02,0.0,0.0,12.587,2025-05-31 23:23:28.852233,6,10
138,-78.6981183,35.7302529,25.004,-0.001714310492388904,-1.6581590175628662,0.0005565080791711807,-0.01,-0.01,0.0,12.587,2025-05-31 23:23:29.854319,6,10
139,-78.6981182,35.7302528,25.004,-0.00019487876852508634,-2.3965559005737305,0.0020376374013721943,0.0,-0.01,0.0,12.587,2025-05-31 23:23:30.854687,6,10
140,-78.6981182,35.7302528,25.004,-0.00035158483660779893,-2.4920923709869385,0.0016361476154997945,0.0,-0.01,0.0,12.587,2025-05-31 23:23:31.855252,6,10
141,-78.6981182,35.7302528,25.004,-0.0008700041216798127,-1.869888424873352,0.0013096897164359689,0.0,-0.01,0.0,12.587,2025-05-31 23:23:32.855765,6,10
142,-78.6981182,35.7302527,25.002,-0.0017311169067397714,-0.6171078085899353,0.0007121667731553316,0.0,-0.01,0.0,12.587,2025-05-31 23:23:33.856512,6,10
143,-78.6981183,35.7302527,25.002,-0.001716485247015953,-0.46396321058273315,0.0012135346187278628,0.01,0.0,0.0,12.587,2025-05-31 23:23:34.857607,6,10
144,-78.6981183,35.7302526,25.004,-0.0005954246153123677,-1.0392935276031494,0.0018267616396769881,0.01,0.0,0.0,12.587,2025-05-31 23:23:35.859139,6,10
145,-78.6981184,35.7302526,25.004,-0.00030323799001052976,-0.7753735780715942,0.0016756461700424552,0.01,0.0,0.0,12.587,2025-05-31 23:23:36.861009,6,10
146,-78.6981185,35.7302526,25.004,0.000698004849255085,-0.7377737760543823,0.0023217382840812206,0.01,0.0,0.0,12.587,2025-05-31 23:23:37.862915,6,10
147,-78.6981186,35.7302527,25.002,0.0014881441602483392,-0.8808705806732178,0.0020289593376219273,0.01,0.02,0.0,12.587,2025-05-31 23:23:38.864913,6,10
148,-78.6981187,35.7302527,25.002,0.0014245194615796208,-0.7629162669181824,0.0017377142794430256,0.0,0.02,0.0,12.587,2025-05-31 23:23:39.866783,6,10
149,-78.6981187,35.7302528,25.003,0.0017308539245277643,-0.8403723835945129,0.0022647236473858356,0.0,0.03,0.0,12.587,2025-05-31 23:23:40.868783,6,10
150,-78.6981188,35.7302528,25.004,0.002299961168318987,-1.9213485717773438,-0.0009153971914201975,0.0,0.03,0.0,12.587,2025-05-31 23:23:41.869043,6,10
151,-78.6981188,35.7302528,25.003,0.00017358809418510646,-3.0828075408935547,-0.001847820240072906,0.0,0.03,0.0,12.587,2025-05-31 23:23:42.869845,6,10
