time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-05-31 23:28:00.119176,21.940903,1.416811,-0.085592,-99
2025-05-31 23:28:01.120127,20.174507,1.436522,-1.410398,-99
2025-05-31 23:28:02.120085,17.751938,0.292543,0.075514,-99
2025-05-31 23:28:03.125709,20.036297,0.458961,0.19087,-99
2025-05-31 23:28:04.123920,19.519367,0.641743,0.402626,-99
2025-05-31 23:28:05.127278,20.73497,-0.088963,0.125414,-99
2025-05-31 23:28:06.144455,19.130619,-0.746685,0.644802,-99
2025-05-31 23:28:07.155675,20.822784,1.662769,-0.602474,-99
2025-05-31 23:28:08.170929,21.592506,-0.589619,-1.489424,-99
2025-05-31 23:28:09.181142,20.768669,-0.53421,-2.06424,-99
2025-05-31 23:28:10.194567,17.603539,-0.30456,-0.392908,-99
2025-05-31 23:28:11.212504,21.455025,-1.387104,1.167948,-99
2025-05-31 23:28:12.214216,18.794819,1.42024,0.406496,-99
2025-05-31 23:28:13.246090,19.825817,-0.863758,-0.113554,-99
2025-05-31 23:28:14.250519,21.469906,0.45154,-0.18458,-99
2025-05-31 23:28:15.266514,21.151478,-0.518591,0.354641,-99
2025-05-31 23:28:16.279843,19.722664,1.594683,1.239332,-99
